160,161,162,163,160,161,162,163,160,161,162,163,40,41,42,43,44,160,161,162,163,160,161,162,163,160,161,162,163,-1
224,225,226,227,224,225,226,227,224,225,226,227,104,105,106,107,108,224,225,226,227,224,225,226,227,224,225,226,227,-1
288,289,290,291,288,289,290,291,288,289,290,291,168,169,170,171,172,288,289,290,291,288,289,290,291,288,289,290,291,-1
352,353,354,355,352,353,354,355,352,353,354,355,232,233,234,235,236,352,353,354,355,352,353,354,355,352,353,354,355,-1
416,-1,-1,-1,-1,417,418,419,416,417,418,419,296,297,298,299,300,416,417,418,419,416,417,418,419,416,417,418,419,-1
224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,360,361,362,363,364,-1,-1,-1,-1,-1,-1,-1,-1,120,-1,-1,-1,-1
224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,136,-1,-1,-1,227
224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
452,453,454,455,456,454,455,455,456,455,456,457,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
516,517,518,519,520,518,519,519,520,519,520,521,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
580,581,582,583,584,582,583,583,584,583,584,585,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
644,645,646,647,648,646,647,647,648,647,648,649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
708,709,710,711,712,710,711,711,712,711,712,713,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,227
772,773,774,775,776,777,778,779,780,781,782,783,-1,-1,-1,-1,-1,-1,160,161,162,163,160,161,162,163,160,161,162,163
836,837,838,839,840,841,842,843,844,845,846,847,-1,-1,-1,-1,-1,-1,224,225,226,227,224,225,226,227,224,225,226,227
900,901,902,903,904,905,906,907,908,909,910,911,-1,-1,-1,-1,-1,-1,288,289,290,291,288,289,290,291,288,289,290,291
964,965,966,967,968,969,970,971,972,973,974,975,-1,-1,-1,-1,-1,-1,352,353,354,355,352,353,354,355,352,353,354,355
1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,-1,-1,-1,-1,-1,-1,416,417,418,419,416,417,418,419,416,417,418,419
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,241,242,243,244,227
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,305,306,307,308,227
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369,370,371,372,227
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,369,370,371,372,227
224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,433,434,435,436,227
543,544,545,546,543,544,545,546,543,544,545,546,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602
